n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
195.9447,0.762,-4.974,3.8646,-4.6854,-2.0687,-5.6102,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
199.937,0.8022,-5.032,4.0026,-5.0899,-1.9771,-5.9097,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.0041,-0.0303
203.9612,0.8022,-5.0378,3.7612,-4.5638,-2.1777,-5.6741,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.0041,-0.0302
207.9621,0.8251,-5.0606,3.9221,-4.7779,-2.2466,-5.3979,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
211.9491,0.8365,-5.0663,3.9967,-4.5132,-2.2465,-5.536,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0303
215.9497,0.8537,-5.072,4.0888,-4.4621,-2.2524,-5.617,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
219.9439,0.8881,-5.072,4.1002,-4.0819,-1.9426,-5.8806,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.0041,-0.0302
223.9349,0.9053,-5.072,4.1346,-4.2894,-2.2008,-5.7437,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.0041,-0.0302
227.9488,0.911,-5.0492,4.0428,-4.3696,-2.2752,-5.3865,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
231.9378,0.9282,-5.0663,4.0771,-4.6463,-2.2007,-5.7722,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
235.9563,0.9454,-5.0606,4.1172,-4.6291,-2.2867,-5.4498,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
239.9632,0.9626,-5.0378,4.4218,-4.4005,-2.304,-5.4732,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
243.9282,0.9798,-5.0035,4.5137,-4.6777,-2.2524,-5.3808,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
247.9488,1.0085,-4.9978,4.5771,-4.661,-2.304,-5.4213,0.0,0.0,0.4433,-0.0322,0.0028,-0.0293,0.0325,0.004,-0.0302
251.9225,1.0199,-4.9859,4.2152,-4.5551,-2.1778,-5.4151,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
255.9191,1.0543,-4.9921,4.6861,-4.6558,-2.3097,-5.5366,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0303
259.9193,1.0944,-4.9978,4.8474,-4.5936,-2.3326,-5.4903,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0301
263.9512,1.0945,-4.9807,4.583,-4.2634,-2.3212,-5.4618,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.004,-0.0302
267.9266,1.1403,-4.9978,5.0426,-4.8487,-2.3727,-5.5251,0.0,0.0,0.4433,-0.0322,0.0029,-0.0293,0.0325,0.004,-0.0302
271.9424,1.1517,-5.0206,4.6288,-4.7651,-2.3898,-5.4846,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0301
275.9463,1.209,-4.9921,5.1523,-4.4689,-2.2122,-5.3403,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
279.92,1.2491,-4.975,5.1521,-4.6418,-2.3956,-5.0413,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0302
283.9546,1.3122,-4.9521,5.5377,-4.3214,-2.3612,-5.1103,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0325,0.004,-0.0301
288.0884,1.3352,-4.8546,5.2787,-3.8581,-2.3669,-4.4141,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0325,0.004,-0.03
291.9597,1.3638,-4.6646,5.2098,-3.1891,-2.2868,-3.6954,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.004,-0.0301
295.9909,1.444,-4.4462,5.6297,-2.8107,-2.0689,-3.4479,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.004,-0.0299
299.9522,1.4784,-4.1187,5.5778,-2.43,-2.3727,-2.7421,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.0039,-0.0299
303.9543,1.5301,-3.8835,5.7221,-2.4078,-2.2121,-2.9139,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.004,-0.0299
307.942,1.5529,-3.5674,5.4801,-2.205,-2.4301,-2.3979,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.0039,-0.03
312.0025,1.5701,-3.3665,5.6184,-2.4015,-2.5676,-2.5932,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.0039,-0.0299
315.9353,1.5988,-3.2059,5.7274,-2.7477,-2.6364,-2.6679,0.0,0.0,0.4433,-0.0321,0.0029,-0.0294,0.0324,0.0039,-0.0299
319.939,1.6045,-3.0279,5.3076,-2.2678,-2.2637,-2.96,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.004,-0.0299
323.9651,1.6332,-2.8673,5.7562,-2.304,-2.4014,-2.9317,0.0,0.0,0.4433,-0.0321,0.0029,-0.0294,0.0324,0.004,-0.0299
327.9473,1.6331,-2.7408,5.6127,-2.5398,-2.43,-2.9546,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.004,-0.0299
331.9485,1.6447,-2.632,5.6127,-2.5398,-2.4015,-2.7825,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.0039,-0.0299
335.9264,1.656,-2.5745,5.7101,-2.4075,-2.4817,-2.9721,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.004,-0.0299
339.9364,1.6275,-2.5229,5.6185,-2.0674,-2.6823,-2.9609,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.004,-0.0299
344.0079,1.616,-2.5286,5.5953,-2.4763,-2.6079,-2.7599,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.0039,-0.0299
347.9237,1.6044,-2.4998,5.7161,-2.0561,-2.5791,-2.6966,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0299
351.9864,1.6101,-2.4998,5.7335,-1.964,-2.5391,-2.7771,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0039,-0.0299
355.9346,1.6216,-2.4826,5.8892,-2.2586,-2.5619,-2.4726,0.0,0.0,0.4433,-0.0322,0.0029,-0.0295,0.0324,0.0039,-0.0299
360.0432,1.6274,-2.4711,5.8141,-2.4946,-2.5563,-2.5588,0.0,0.0,0.4433,-0.0322,0.0029,-0.0294,0.0324,0.0039,-0.0299
363.9543,1.6331,-2.4597,5.7102,-2.5401,-2.539,-2.4612,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.0039,-0.0299
367.9307,1.6274,-2.4482,5.6875,-2.0618,-2.4989,-2.9549,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.0039,-0.0298
371.9447,1.6331,-2.4368,5.8083,-2.5118,-2.562,-2.6622,0.0,0.0,0.4433,-0.0321,0.0029,-0.0295,0.0324,0.0039,-0.0298
376.0838,1.6446,-2.4196,5.9812,-2.0456,-2.4818,-2.8401,0.0,0.0,0.4433,-0.0322,0.0028,-0.0295,0.0324,0.0039,-0.0299
380.0565,1.6446,-2.3967,5.7394,-2.2119,-2.5793,-2.6336,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0299
383.9549,1.6618,-2.4024,6.0096,-2.2185,-2.6537,-2.9552,0.0,0.0,0.4433,-0.0322,0.0029,-0.0295,0.0324,0.0039,-0.0299
387.9907,1.6676,-2.391,6.0446,-2.1727,-2.8545,-2.7776,0.0,0.0,0.4433,-0.0322,0.0028,-0.0295,0.0325,0.0039,-0.0299
391.9239,1.6847,-2.391,6.0273,-2.2245,-2.5621,-2.513,0.0,0.0,0.4433,-0.0322,0.0028,-0.0295,0.0324,0.0039,-0.0299
395.937,1.7019,-2.3967,5.9868,-2.0629,-2.4531,-2.8573,0.0,0.0,0.4433,-0.0322,0.0028,-0.0295,0.0324,0.0039,-0.0298
399.962,1.6905,-2.3852,5.9812,-2.2013,-2.8489,-2.3184,0.0,0.0,0.4433,-0.0322,0.0029,-0.0295,0.0324,0.0039,-0.0298
403.9387,1.6733,-2.391,5.9697,-2.2243,-3.0667,-2.916,0.0,0.0,0.4433,-0.0322,0.0028,-0.0294,0.0325,0.0039,-0.0298
408.0204,1.679,-2.3623,5.8776,-1.832,-2.6594,-2.6507,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0298
411.9166,1.6733,-2.3451,5.8426,-2.0623,-2.6824,-2.582,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0039,-0.0298
415.9442,1.6675,-2.3277,6.0618,-1.9767,-2.8946,-2.749,0.0,0.0,0.4433,-0.0322,0.0028,-0.0295,0.0325,0.0039,-0.0298
419.9907,1.656,-2.3048,5.9928,-2.0053,-2.8373,-2.5135,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0325,0.0039,-0.0298
423.9558,1.656,-2.2991,6.0447,-1.8095,-2.8716,-2.9039,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0325,0.0039,-0.0298
427.958,1.6389,-2.259,5.9118,-1.8263,-2.9118,-2.4791,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0325,0.0039,-0.0298
431.9343,1.6389,-2.259,5.929,-1.9704,-2.7569,-2.8865,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0298
436.0101,1.6275,-2.259,6.0097,-2.0456,-2.7742,-2.72,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0298
439.9607,1.6045,-2.2647,5.912,-1.9589,-2.9694,-2.9332,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0325,0.0039,-0.0298
444.0183,1.5988,-2.2704,5.9059,-1.8838,-2.8832,-2.8581,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0325,0.0039,-0.0298
447.9285,1.593,-2.2301,5.8254,-1.3305,-2.9519,-2.9386,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0298
452.0136,1.53,-2.1786,5.4338,-0.9957,-3.4112,-2.5551,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0325,0.0039,-0.0298
456.0726,1.4269,-2.0638,5.0773,-0.6845,-3.6578,-1.8087,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.0039,-0.0297
459.9555,1.295,-1.903,4.8644,-0.3565,-3.7899,-1.5103,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.0039,-0.0296
463.9514,1.0944,-1.6793,4.7265,-0.1437,-4.3873,-0.747,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.0039,-0.0297
467.9552,0.8939,-1.4729,4.6232,-0.2932,-4.5598,-0.5633,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.0039,-0.0296
471.9367,0.6933,-1.2607,4.4391,-0.069,-4.646,-0.4714,0.0,0.0,0.4433,-0.032,0.0029,-0.0296,0.0324,0.0039,-0.0297
475.9209,0.4985,-1.0543,4.3815,0.2816,-4.8242,-0.6785,0.0,0.0,0.4433,-0.032,0.0029,-0.0296,0.0324,0.0039,-0.0297
479.9048,0.3724,-0.8365,4.3701,0.2011,-4.7669,-0.3967,0.0,0.0,0.4433,-0.032,0.0029,-0.0296,0.0324,0.0039,-0.0297
483.9397,0.2636,-0.6876,4.3644,-0.0057,-4.6692,-0.6094,0.0,0.0,0.4433,-0.0321,0.0029,-0.0296,0.0324,0.0039,-0.0296
487.973,0.1833,-0.5156,4.6632,0.092,-4.7611,-0.5002,0.0,0.0,0.4433,-0.0321,0.0028,-0.0296,0.0324,0.0039,-0.0297
491.9305,0.1089,-0.3552,4.6461,0.0517,-4.6232,-0.184,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0296
495.9514,0.0458,-0.2578,4.7151,0.1207,-4.6691,-0.6381,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0297
499.9492,-0.0229,-0.1776,4.491,0.1092,-4.8128,-0.6383,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0297
503.9277,-0.0688,-0.0917,4.4103,0.6379,-4.6231,-0.4541,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0297
507.9342,-0.0917,-0.0458,4.399,0.5115,-4.5884,-0.4024,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0297
511.9425,-0.0974,0.0,4.4965,0.5747,-4.6979,-0.3852,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0297
515.9307,-0.1031,0.0172,4.4505,0.2241,-4.6922,-0.3737,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0297
519.9561,-0.0859,0.0286,4.5195,0.2069,-4.646,-0.3794,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0297
523.9472,-0.0917,0.0286,4.4505,0.2701,-4.8129,-0.5175,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0297
527.9631,-0.1031,0.0516,4.4105,0.2988,-4.9106,-0.368,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0298
531.9334,-0.1146,0.063,4.4161,0.4885,-4.7896,-0.5405,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0297
535.9425,-0.1375,0.0688,4.4391,0.2414,-4.8935,-0.322,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0297
539.9475,-0.149,0.0859,4.4276,0.3103,-4.6979,-0.3334,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0297
543.9293,-0.149,0.1146,4.508,0.3563,-4.8759,-0.2473,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0297
547.9083,-0.1432,0.1203,4.8357,0.5923,-4.8935,-0.3393,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0296
551.9555,-0.149,0.1146,4.4448,0.2184,-4.7322,-0.23,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0297
555.949,-0.1719,0.1261,4.0715,0.5859,-4.7208,-0.2012,0.0,0.0,0.4433,-0.0321,0.0028,-0.0296,0.0324,0.0038,-0.0296
559.9416,-0.1662,0.1261,4.6174,0.4196,-4.83,-0.6038,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0296
563.9373,-0.1662,0.1203,4.6288,0.4426,-4.8475,-0.7131,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0296
568.0403,-0.1662,0.1203,4.675,0.4427,-5.0084,-0.5924,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0039,-0.0296
571.9871,-0.1547,0.1318,4.5829,0.7185,-4.8647,-0.5981,0.0,0.0,0.4433,-0.0321,0.0027,-0.0295,0.0324,0.0039,-0.0296
575.9315,-0.1662,0.1146,4.4048,0.2586,-4.9104,-0.5981,0.0,0.0,0.4433,-0.0321,0.0028,-0.0296,0.0324,0.0039,-0.0295
580.061,-0.1719,0.1146,4.4908,0.454,-5.0142,-0.4774,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0296
584.023,-0.1776,0.1318,4.4103,0.6264,-4.8068,-0.3795,0.0,0.0,0.4433,-0.0321,0.0027,-0.0295,0.0324,0.0038,-0.0296
587.9475,-0.1948,0.1375,4.2151,0.6894,-4.882,-0.4313,0.0,0.0,0.4433,-0.0321,0.0027,-0.0295,0.0324,0.0038,-0.0296
592.0957,-0.2063,0.0974,4.5138,-0.2069,-4.9334,-0.4026,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0038,-0.0296
595.9528,-0.2005,0.0917,4.6632,0.1552,-4.8935,-0.3278,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0038,-0.0296
599.9663,-0.1891,0.0516,4.4738,0.2874,-4.8589,-0.7073,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0039,-0.0296
603.9923,-0.1948,0.0573,4.4448,0.3276,-4.7783,-0.391,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0296
607.9452,-0.1833,0.0688,4.7555,0.3047,-4.8245,-0.368,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0038,-0.0296
612.0048,-0.1833,0.0688,4.6575,0.3392,-4.951,-0.4486,0.0,0.0,0.4433,-0.0321,0.0028,-0.0295,0.0324,0.0038,-0.0296
615.9141,-0.1891,0.0458,4.5138,0.092,-4.8819,-0.5291,0.0,0.0,0.4433,-0.0321,0.0028,-0.0293,0.0324,0.0038,-0.0296
619.9215,-0.1719,0.0516,4.6864,0.4772,-4.9047,-0.5751,0.0,0.0,0.4433,-0.0322,0.0027,-0.0294,0.0324,0.0038,-0.0296
623.9358,-0.1662,0.0286,4.5885,-0.0805,-4.8991,-0.4141,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0038,-0.0297
627.9443,-0.1662,0.0229,4.4794,0.5115,-4.9219,-0.5176,0.0,0.0,0.4433,-0.0321,0.0027,-0.0293,0.0324,0.0038,-0.0296
631.9338,-0.149,0.0057,4.5081,0.2069,-4.7783,-0.3967,0.0,0.0,0.4433,-0.0321,0.0028,-0.0293,0.0324,0.0038,-0.0296
635.9313,-0.1547,0.0344,4.399,0.4827,-4.8643,-0.483,0.0,0.0,0.4433,-0.0321,0.0027,-0.0293,0.0324,0.0038,-0.0296
639.9439,-0.1604,0.0286,4.5195,0.2874,-4.8529,-0.506,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0038,-0.0296
643.9338,-0.1547,0.0516,4.5079,0.5402,-4.784,-0.4485,0.0,0.0,0.4433,-0.0321,0.0027,-0.0294,0.0324,0.0038,-0.0296
647.9219,-0.149,0.0573,4.6692,0.5059,-4.8587,-0.4485,0.0,0.0,0.4433,-0.0322,0.0027,-0.0293,0.0324,0.0038,-0.0296
651.9338,-0.1604,0.0516,4.6231,0.4196,-4.9508,-0.6326,0.0,0.0,0.4433,-0.0321,0.0027,-0.0294,0.0324,0.0039,-0.0296
655.9237,-0.1604,0.0401,4.5024,0.2356,-4.8875,-0.6498,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0039,-0.0297
659.9283,-0.1662,0.0458,4.4795,0.1954,-4.9334,-0.4543,0.0,0.0,0.4433,-0.0321,0.0028,-0.0294,0.0324,0.0038,-0.0297
